Period, Estimated APD
597.55, 257.48
281.77, 211.77999999999997
597.55, 247.76000000000002
272.06, 208.89999999999998
262.34, 252.63000000000002
597.55, 238.05
383.79, 208.91
369.22, 204.04000000000002
359.5, 189.46999999999997
349.79, 204.04000000000002
330.35, 247.76999999999998
251.48, 145.75000000000003
238.05, 155.47
230.5, 170.04000000000002
597.1, 257.48
219.49, 155.45999999999998
210.16, 174.9
200.63, 194.32999999999998
380.09, 231.5
369.6, 213.76000000000002
360.0, 223.47000000000003
331.45, 208.9
379.97, 233.20000000000002
371.66, 204.03999999999996
360.23, 233.19
350.46, 204.04000000000002
341.84, 233.20000000000002
330.35, 228.32999999999998
320.64, 223.48000000000002
310.92, 238.04999999999998
301.2, 228.34
299.0, 223.48000000000002
291.49, 184.61
281.77, 194.32000000000002
262.34, 179.75000000000003
252.62, 174.9
242.91, 184.61
233.19, 199.17999999999998
378.94, 194.33000000000004
369.22, 208.91
359.5, 189.46999999999997
349.79, 179.75
340.07, 194.32000000000002
272.06, 213.76000000000002
330.35, 165.17
320.64, 194.33000000000004
306.06, 204.04000000000002
296.35, 136.02999999999997
291.49, 150.61
281.77, 170.02999999999997
267.2, 155.46000000000004
262.34, 170.03
229.29, 155.45999999999998
338.73, 194.33
330.35, 216.93
320.64, 199.18
306.06, 174.89000000000001
272.06, 179.75
267.2, 170.03
257.48, 163.49
291.49, 102.02000000000001
600.05, 257.48
599.52, 238.04999999999998
600.54, 233.19
