Period, Duration, Initial Time, Final Time
340.07, 732.61, 138795.64, 139528.24
320.64, 776.33, 153487.69, 154264.02
322.58, 2282.81, 179126.16, 181408.97
308.98, 1926.25, 205824.13, 207750.38
301.20, 2002.53, 215991.10, 217993.63
289.55, 1428.29, 226070.63, 227498.92
281.77, 1649.83, 235048.85, 236698.67
268.17, 1396.23, 244903.19, 246299.42
256.51, 1728.53, 253589.66, 255318.18
253.60, 2407.70, 262576.36, 264984.06
241.94, 2229.89, 271871.04, 274100.93
227.36, 1810.14, 281426.15, 283236.29
221.53, 3139.02, 290251.61, 293390.63
209.87, 2292.78, 301825.19, 304117.97
198.21, 2866.78, 311813.61, 314680.40
241.94, 865.72, 521949.51, 522815.23
221.53, 1425.38, 533360.02, 534785.40
221.53, 2095.80, 539857.70, 541953.50
378.94, 1010.49, 565270.85, 566281.34
369.22, 3769.92, 571892.08, 575661.99
359.50, 1102.80, 582147.17, 583249.97
349.79, 495.53, 588548.45, 589043.98
334.24, 1275.49, 594175.04, 595450.53
300.23, 757.87, 629595.72, 630353.59
300.23, 1300.04, 680147.30, 681447.34
276.91, 2356.91, 692042.78, 694399.69
274.00, 856.98, 699466.89, 700323.86
262.34, 1314.61, 705247.00, 706561.61
247.77, 1539.06, 711832.61, 713371.67
239.02, 1311.70, 718807.83, 720119.53
239.02, 2057.91, 725153.04, 727210.95
221.53, 1868.44, 732186.93, 734055.38
206.96, 3245.24, 739235.76, 742481.00
204.04, 1904.39, 747980.31, 749884.70
195.30, 2081.23, 767278.23, 769359.46
201.13, 4376.21, 774866.54, 779242.76
194.33, 3155.85, 791980.33, 795136.18
202.10, 2813.84, 814512.32, 817326.15
202.10, 1834.43, 823496.34, 825330.77
