Period, QRS
 597.55,  174.89
 281.77,  199.18
 597.55,  189.47
 272.06,  179.75
 262.34,  170.03
 597.55,  179.75
 383.79,  170.03
 369.22,  179.75
 359.50,  184.61
 349.79,  165.18
 330.35,  179.75
 251.48,  223.47
 238.05,  223.47
 230.50,  233.19
 597.10,  97.16
 219.49,  252.62
 210.16,  228.33
 200.63,  233.19
 380.09,  165.18
 369.60,  170.03
 360.00,  160.32
 331.45,  194.33
 379.97,  170.03
 371.66,  184.61
 360.23,  160.32
 350.46,  165.18
 341.84,  170.03
 330.35,  165.18
 320.64,  174.89
 310.92,  170.03
 301.20,  170.03
 299.00,  179.75
 291.49,  184.61
 281.77,  189.47
 262.34,  189.47
 252.62,  204.04
 242.91,  218.62
 233.19,  208.90
 378.94,  174.89
 369.22,  170.03
 359.50,  199.18
 349.79,  184.61
 340.07,  189.47
 272.06,  189.47
 330.35,  194.33
 320.64,  174.89
 306.06,  165.18
 296.35,  184.61
 291.49,  199.18
 281.77,  184.61
 267.20,  174.89
 262.34,  189.47
 229.29,  199.18
 338.73,  170.03
 330.35,  160.32
 320.64,  160.32
 306.06,  189.47
 272.06,  179.75
 267.20,  194.33
 257.48,  200.87
 291.49,  228.33
 600.05,  165.18
 599.52,  170.03
 600.54,  165.18
