Period, QT
 597.55,  432.37
 281.77,  410.96
 597.55,  437.23
 272.06,  388.65
 262.34,  422.66
 597.55,  417.80
 383.79,  378.94
 369.22,  383.79
 359.50,  374.08
 349.79,  369.22
 330.35,  427.52
 251.48,  369.22
 238.05,  378.94
 230.50,  403.23
 597.10,  354.64
 219.49,  408.08
 210.16,  403.23
 200.63,  427.52
 380.09,  396.68
 369.60,  383.79
 360.00,  383.79
 331.45,  403.23
 379.97,  403.23
 371.66,  388.65
 360.23,  393.51
 350.46,  369.22
 341.84,  403.23
 330.35,  393.51
 320.64,  398.37
 310.92,  408.08
 301.20,  398.37
 299.00,  403.23
 291.49,  369.22
 281.77,  383.79
 262.34,  369.22
 252.62,  378.94
 242.91,  403.23
 233.19,  408.08
 378.94,  369.22
 369.22,  378.94
 359.50,  388.65
 349.79,  364.36
 340.07,  383.79
 272.06,  403.23
 330.35,  359.50
 320.64,  369.22
 306.06,  369.22
 296.35,  320.64
 291.49,  349.79
 281.77,  354.64
 267.20,  330.35
 262.34,  359.50
 229.29,  354.64
 338.73,  364.36
 330.35,  377.25
 320.64,  359.50
 306.06,  364.36
 272.06,  359.50
 267.20,  364.36
 257.48,  364.36
 291.49,  330.35
 600.05,  422.66
 599.52,  408.08
 600.54,  398.37
